0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.36354434,-0.3001095,-0.078191176,-1.0326222,0.15709251,-0.9837457,0.5195965,-0.50502634,0.87350816,-0.8001633,-0.03256561,-0.18919325,0.3412179,-0.61926585,0.5834572,-0.10427671,0.15859456,0.28698897,-0.02602917,0.23580167,0.08203536,0.1923559,-0.48419398,-0.15918387,-0.5479324,-0.016882505,-0.04238642,0.22158322,-0.012126014,0.03397075,-0.14915457,-0.041819796,-0.18974176,-0.12332045,-0.17468971,0.22846457,-0.13239148,-0.07068401,0.045429084,-0.1369281,0.11142618,-0.1157105,-0.048904557,-0.20499103,-0.173974,-0.0802539,-0.0812376,0.019611329,-0.1943954,-0.20916942
-0.23108292,0.34745565,0.102603234,0.84051764,-0.08530104,0.39420283,-0.7975903,-0.45952892,0.18793997,-0.024489684,-0.9478528,0.4897445,-0.19916384,-0.22789901,-0.002881788,-0.1379334,-0.2257506,-0.41881073,-0.45791623,0.08750835,-0.07974204,0.2233203,-0.22073084,-0.17210677,-0.43900585,0.16831785,0.014138721,-0.46615478,-0.27056625,-0.1434834,0.09918239,-0.27324653,0.2826344,0.05424449,0.12889041,-0.03336218,0.04345747,0.20494106,0.25935575,0.036131997,-0.4066375,0.12573147,0.22704776,-0.1839014,0.07981295,-0.23136741,0.27173507,0.27006277,-0.13542062,0.06131503
0.21401322,0.36431468,0.26762962,0.61763185,-0.1985928,0.23183268,-0.24791363,-0.54526913,0.35394168,0.08968751,-0.746537,0.42957386,0.18372074,-0.2325677,0.1311992,-0.030347705,0.03179372,-0.6640732,-0.14082442,-0.31611934,0.2933857,0.028545879,-0.06680162,-0.52086073,-0.5856265,0.12565897,0.32565063,-0.40668312,-0.18790214,-0.3434045,0.058089774,-0.3287305,0.02830632,0.10820879,-0.012887904,0.006271564,0.19887269,0.08078079,0.2644519,0.14529485,-0.35309446,0.00736532,0.37038413,-0.08759103,0.21564041,-0.32387516,0.10830619,0.27303103,-0.2985575,0.029361157
-0.18014386,-0.48839146,0.11307146,1.3722973,0.5786374,0.048446536,-0.39875582,0.51779467,-0.3218478,0.62603444,-0.06395586,0.42337826,0.08252454,-0.00407441,-0.05907935,-0.44473505,-0.32575083,-0.14861074,0.37036392,0.08565736,0.20407344,0.30973896,-0.003931761,-0.22571798,-0.04429786,-0.08562803,0.17153126,-0.4118373,0.05404131,0.27747262,0.109634295,-0.123110004,-0.12425016,0.18872067,0.29939747,-0.016419172,-0.021016195,0.24031985,-0.04169406,-0.022920966,0.0536433,0.02258753,-0.15213948,-0.16044024,0.056763202,-0.2100085,0.09051946,0.011165563,-0.0302977,0.119968444
-0.88216615,-0.33687353,-0.31334445,2.0207682,0.124420404,1.1803666,-1.2889428,1.0195575,-0.8983007,0.69524395,0.221678,0.8087629,-0.94594175,0.7223773,-1.1397705,-0.4075436,-0.32863194,-0.47962493,0.7213595,0.006294722,0.23062193,0.23311193,0.29356462,0.12665738,0.6734125,0.08129873,-0.31170383,-0.5237299,-0.14670396,0.6674042,0.37016892,-0.076867454,-0.02409524,0.4197677,-0.06123675,-0.5516496,0.006300315,0.23474804,-0.17516215,0.21824948,0.002043132,-0.008404474,0.0693848,0.24679682,-0.15212099,0.023934131,-0.12645376,-0.4940671,0.24540858,0.33414853
0.73121965,-1.5088904,1.3770163,2.3626666,0.86074555,-2.9477706,0.5019508,1.7380654,-0.28584644,0.70326865,1.2875926,0.083853394,0.884548,-0.13032763,0.83012515,-0.21266262,0.23467728,0.42538923,2.083881,-0.37522012,-0.18020117,0.36035162,0.29209834,0.39761308,0.6043396,-0.96268034,-0.05732102,1.0881436,1.2699451,1.404517,0.21798073,-0.42275342,-0.9594773,0.24829477,1.0905712,0.90866846,-0.5142567,0.6467083,-0.9205474,-0.7094897,1.2673787,-0.5721632,-1.2032334,0.006195568,0.025316503,-0.31516674,-0.45995063,-0.45623913,0.17073521,-0.029745148
-0.35504875,0.11181514,-0.08280156,0.72605044,-0.28263074,0.66449296,-0.56225103,0.14159203,-0.23331794,0.12541229,-0.64751434,0.45617554,-0.19459806,-0.28426483,-0.23457582,-0.040492233,-0.108793005,-0.43218583,-0.005890686,-0.1470907,0.17481102,0.16748223,-0.21443635,-0.3804349,-0.09055318,0.3423993,0.085921615,-0.39583865,-0.34335944,-0.068837054,0.1214289,-0.07406904,0.09031444,0.27498063,-0.1256248,-0.25220212,0.30497763,-0.040444896,0.16500181,0.04214029,-0.28493214,0.08430373,0.28582266,-0.022435948,0.02293825,0.014533948,0.10762981,-0.041548885,-0.15775548,0.036187913
-0.29671192,0.15930082,-0.792035,-0.4349,-0.40079272,0.695151,-0.39713988,-0.6972312,0.078662276,-0.23802885,-0.19450791,-2.21E-05,-0.47216493,0.3234126,-0.6133036,-0.24576634,-0.54346186,-0.13007922,-0.13808186,0.13741076,0.31506902,0.1404668,-0.34727353,-0.04948236,-0.31255323,0.45817065,0.1427072,-0.3476045,-0.24458101,-0.42127866,0.12369558,-0.03238949,0.15345117,0.1433844,-0.49227437,-0.3733542,0.2787841,-0.2556948,0.24067098,0.33851826,-0.41135764,0.21784642,0.3287441,0.124313876,-0.16784684,0.27395338,-0.024861496,-0.2280738,-0.23237137,-0.014284991
-0.7627666,0.19254601,-1.2883085,-1.1908123,-0.741201,1.4680977,-0.14188877,-0.87034094,0.14989352,-0.6417065,-0.44613495,-0.27137968,-0.8123736,0.094380386,-0.85162926,-0.03563768,-0.50560313,0.029933333,-0.7768213,0.24455784,0.13169223,0.5210561,-0.53727,-0.019074928,-0.16764408,0.77985525,0.12598585,-0.58080345,-0.6781789,-0.6896014,-0.034080908,0.10271514,0.65930283,0.2124163,-0.6234611,-0.6038992,0.022224752,-0.46149766,0.5437906,0.19156799,-0.2621944,0.5373128,0.5627326,0.16270274,-0.43294862,0.34837952,0.1972734,-0.08706054,-0.20444334,0.067040056
-0.6736799,-0.105333544,-0.38021827,0.8421857,-0.13024454,1.2134706,-0.8016095,-0.07608841,-0.445232,0.08369814,-0.34045714,0.50700575,-0.83039594,0.10780479,-0.5973662,-0.17875135,-0.36643645,-0.11488832,-0.2973508,0.13806753,0.07669431,0.22422774,-0.3832005,-0.15115643,0.049751684,0.295912,0.1298494,-0.5165641,-0.33131137,-0.2703576,0.13124321,0.12288179,0.40331686,0.066636115,-0.18012899,-0.47401598,0.19056258,-0.117094785,0.1323925,0.092402376,-0.19773641,0.179353,0.26136062,0.07609742,-0.11487588,0.073822826,0.12802958,-0.05561681,-0.041932132,0.22001354
